url,player_number,weight,years_in_league,player_id,position,age,height
http://stats.nba.com/player/#!/,3,189,4,202688,G,24,75
http://stats.nba.com/player/#!/,15,184,4,202689,G,25,73
http://stats.nba.com/player/#!/,,,4,202690,,27,
http://stats.nba.com/player/#!/,11,215,4,202691,G,26,79
http://stats.nba.com/player/#!/,10,214,4,202692,G,24,78
http://stats.nba.com/player/#!/,5,245,4,202693,F,26,82
http://stats.nba.com/player/#!/,13,235,4,202694,F,26,81
http://stats.nba.com/player/#!/,2,230,4,202695,F,24,79
http://stats.nba.com/player/#!/,9,260,4,202696,C,25,84
http://stats.nba.com/player/#!/,4,220,4,202697,G,25,77
http://stats.nba.com/player/#!/,34,235,4,202699,F,23,81
http://stats.nba.com/player/#!/,20,222,3,202700,F-C,25,84
http://stats.nba.com/player/#!/,35,228,4,202702,F,26,80
http://stats.nba.com/player/#!/,44,220,1,202703,F,25,82
http://stats.nba.com/player/#!/,1,208,4,202704,G,26,75
http://stats.nba.com/player/#!/,25,220,4,202706,G-F,25,79
http://stats.nba.com/player/#!/,30,175,4,202708,G,27,74
http://stats.nba.com/player/#!/,6,190,4,202709,G,24,75
http://stats.nba.com/player/#!/,21,220,4,202710,G-F,26,79
http://stats.nba.com/player/#!/,44,216,1,202711,G-F,27,80
http://stats.nba.com/player/#!/,5,228,3,202713,F,28,80
http://stats.nba.com/player/#!/,8,203,4,202714,G,26,75
http://stats.nba.com/player/#!/,25,230,4,202718,F,27,82
http://stats.nba.com/player/#!/,30,228,4,202720,F,26,82
http://stats.nba.com/player/#!/,5,255,4,202730,F-C,27,81
http://stats.nba.com/player/#!/,55,191,4,202734,G,27,76
http://stats.nba.com/player/#!/,4,185,4,202738,G,27,69
http://stats.nba.com/player/#!/,4,250,4,202962,C,25,82
http://stats.nba.com/player/#!/,23,253,3,203076,F-C,23,82
http://stats.nba.com/player/#!/,14,232,3,203077,F,22,79
http://stats.nba.com/player/#!/,3,207,3,203078,G,22,77
http://stats.nba.com/player/#!/,3,220,3,203079,G,24,76
http://stats.nba.com/player/#!/,41,237,3,203080,F,25,82
http://stats.nba.com/player/#!/,0,195,3,203081,G,25,75
http://stats.nba.com/player/#!/,31,195,3,203082,F-G,25,79
http://stats.nba.com/player/#!/,0,279,3,203083,C,22,83
http://stats.nba.com/player/#!/,40,225,3,203084,F,23,80
http://stats.nba.com/player/#!/,25,200,3,203085,G,23,76
http://stats.nba.com/player/#!/,11,245,3,203086,F-C,24,85
http://stats.nba.com/player/#!/,3,185,3,203087,G,23,77
http://stats.nba.com/player/#!/,5,200,3,203088,G,24,76
http://stats.nba.com/player/#!/,31,229,3,203089,F,25,83
http://stats.nba.com/player/#!/,4,215,3,203090,F,22,81
http://stats.nba.com/player/#!/,44,253,3,203092,C-F,26,84
http://stats.nba.com/player/#!/,6,252,3,203093,F,24,81
http://stats.nba.com/player/#!/,44,250,3,203094,F,26,81
http://stats.nba.com/player/#!/,10,205,3,203095,G-F,23,79
http://stats.nba.com/player/#!/,7,260,3,203096,C-F,24,81
http://stats.nba.com/player/#!/,23,215,3,203098,G,25,76
http://stats.nba.com/player/#!/,,,3,203099,,24,
http://stats.nba.com/player/#!/,5,205,3,203100,G,23,78
http://stats.nba.com/player/#!/,18,249,3,203101,C,27,83
http://stats.nba.com/player/#!/,31,265,2,203105,C,26,83
http://stats.nba.com/player/#!/,99,235,3,203109,F,25,78
http://stats.nba.com/player/#!/,23,230,3,203110,F,26,79
http://stats.nba.com/player/#!/,13,240,3,203112,F,25,79
http://stats.nba.com/player/#!/,22,234,3,203114,G-F,24,80
http://stats.nba.com/player/#!/,5,175,3,203115,F-G,25,78
http://stats.nba.com/player/#!/,32,237,3,203118,F,27,80
http://stats.nba.com/player/#!/,,,1,203123,,25,
http://stats.nba.com/player/#!/,9,250,3,203124,F-C,26,82
http://stats.nba.com/player/#!/,50,270,3,203135,C,26,84
http://stats.nba.com/player/#!/,31,206,2,203138,G-F,25,80
http://stats.nba.com/player/#!/,35,242,3,203141,F,30,81
http://stats.nba.com/player/#!/,,,3,203142,,32,
http://stats.nba.com/player/#!/,9,185,3,203143,G,38,75
http://stats.nba.com/player/#!/,24,201,3,203145,F-G,26,77
http://stats.nba.com/player/#!/,2,173,3,203148,G,30,73
http://stats.nba.com/player/#!/,14,248,3,203156,C-F,26,82
http://stats.nba.com/player/#!/,23,206,3,203187,F,26,78
http://stats.nba.com/player/#!/,7,185,2,203200,G,27,78
http://stats.nba.com/player/#!/,0,227,1,203210,F,25,81
http://stats.nba.com/player/#!/,12,189,2,203268,G,27,75
http://stats.nba.com/player/#!/,12,260,3,203382,C-F,29,82
http://stats.nba.com/player/#!/,3,218,15,2034,G-F,36,80
http://stats.nba.com/player/#!/,4,228,1,203457,F-C,22,83
http://stats.nba.com/player/#!/,21,260,2,203458,C,22,85
http://stats.nba.com/player/#!/,23,210,2,203459,G,24,78
http://stats.nba.com/player/#!/,21,210,2,203460,G,24,79
http://stats.nba.com/player/#!/,,,2,203461,,23,
http://stats.nba.com/player/#!/,20,200,2,203462,G,21,77
http://stats.nba.com/player/#!/,23,195,2,203463,G,23,77
http://stats.nba.com/player/#!/,3,200,2,203468,G,24,76
http://stats.nba.com/player/#!/,40,240,2,203469,C-F,23,84
http://stats.nba.com/player/#!/,17,172,2,203471,G,22,73
http://stats.nba.com/player/#!/,3,245,2,203473,C,26,84
http://stats.nba.com/player/#!/,,,1,203475,,24,
http://stats.nba.com/player/#!/,5,241,2,203476,C-F,26,83
http://stats.nba.com/player/#!/,0,201,2,203477,G,24,72
http://stats.nba.com/player/#!/,24,231,2,203481,C,26,84
http://stats.nba.com/player/#!/,41,238,2,203482,C-F,25,84
http://stats.nba.com/player/#!/,5,205,2,203484,G,23,77
http://stats.nba.com/player/#!/,17,189,2,203485,G,25,77
http://stats.nba.com/player/#!/,24,235,2,203486,C-F,26,83
http://stats.nba.com/player/#!/,5,190,2,203487,G,24,78
http://stats.nba.com/player/#!/,31,240,2,203488,F-C,24,83
http://stats.nba.com/player/#!/,22,198,2,203490,F,22,80
http://stats.nba.com/player/#!/,,,2,203492,,24,
http://stats.nba.com/player/#!/,25,205,2,203493,F,25,79
http://stats.nba.com/player/#!/,33,215,2,203496,F,25,81
http://stats.nba.com/player/#!/,27,245,2,203497,C,23,85
http://stats.nba.com/player/#!/,15,223,2,203498,F,23,78
http://stats.nba.com/player/#!/,0,175,2,203499,G,23,71
http://stats.nba.com/player/#!/,12,255,2,203500,C,22,84
http://stats.nba.com/player/#!/,10,205,2,203501,G,24,78
http://stats.nba.com/player/#!/,20,200,2,203503,F,24,79
